round,country,population,pop_pct,capital,stockpile,sick,cured,deaths,production,trust,deaths_total,vaccinated_total,given_total,received_total,sold_total,betrayals,alive
1,India,10200000,100.0,5219000,321022,1020000,1020000,0,1090000,49.9,0,1020000,58978,0,0,1,True
1,USA,6000000,100.0,3334000,368801,600000,600000,0,636000,48.2,0,600000,52199,0,0,1,True
1,China,9243500,99.39247311827957,5128500,0,1441500,1385000,56500,1040000,50.0,56500,1385000,0,0,0,0,True
1,Brazil,4040500,98.54878048780488,1918500,137458,635500,576000,59500,416000,50.0,59500,576000,0,137458,0,0,True
1,Germany,2450000,100.0,1388250,195719,245000,245000,0,272000,41.8,0,245000,26281,0,0,1,True
2,India,10030022,98.33354901960784,4588000,0,1581000,1411022,169978,1090000,49.9,169978,2431022,58978,0,0,1,True
2,USA,6000000,100.0,2968000,357074,600000,600000,0,636000,41.5,0,1200000,99926,0,0,2,True
2,China,9243500,99.39247311827957,4510776,87005,930000,930000,0,1033682,47.1,56500,2315000,16676,0,0,1,True
2,Brazil,3952420,96.40048780487805,1690360,106253,635500,547420,88080,409963,50.0,147580,1123420,0,243711,0,0,True
2,Germany,2450000,100.0,1226500,180869,245000,245000,0,272000,34.2,0,490000,68131,0,0,2,True
3,India,9520857,93.34173529411764,3967516,0,1581000,1071835,509165,1071836,49.9,679143,3502857,58978,0,0,1,True
3,USA,6000000,100.0,2602000,275514,600000,600000,0,636000,40.4,0,1800000,217486,0,0,3,True
3,China,8922686,95.94286021505377,3893053,0,1441500,1120686,320814,1033682,47.2,377314,3435686,16676,0,0,1,True
3,Brazil,3824199,93.27314634146342,1467193,168540,635500,507279,128221,401026,50.0,275801,1630699,0,412251,0,0,True
3,Germany,2450000,100.0,1064750,156889,245000,245000,0,272000,26.4,0,735000,119111,0,0,3,True
4,India,8957281,87.81648039215686,3378531,204216,1581000,1017424,563576,1017425,49.9,1242719,4520281,58978,204216,0,1,True
4,USA,6000000,100.0,2236000,230550,600000,600000,0,636000,34.4,0,2400000,298450,0,0,4,True
4,China,8922686,95.94286021505377,3296769,57998,930000,930000,0,997806,43.2,377314,4365686,26483,0,0,2,True
4,Brazil,3824199,93.27314634146342,1251266,104442,410000,410000,0,388016,47.4,275801,2040699,42114,412251,0,1,True
4,Germany,2450000,100.0,903000,112558,245000,245000,0,272000,22.6,0,980000,190442,0,0,4,True
5,India,8537696,83.70290196078432,2824409,66898,1581000,1161415,419585,957200,49.9,1662304,5681696,58978,271114,0,1,True
5,USA,5936550,98.9425,1870000,0,930000,866550,63450,636000,34.7,63450,3266550,298450,0,0,4,True
5,China,8922686,95.94286021505377,2700485,111358,930000,930000,0,997806,37.0,377314,5295686,40928,0,0,3,True
5,Brazil,3824199,93.27314634146342,1035339,62595,410000,410000,0,388016,42.8,275801,2450699,61977,412251,0,2,True
5,Germany,2450000,100.0,741250,106968,245000,245000,0,272000,14.6,0,1225000,223032,0,0,5,True
6,India,7935955,77.80348039215686,2296245,48233,1581000,979259,601741,912362,49.9,2264045,6660955,58978,319347,0,1,True
6,USA,5936550,98.9425,1507871,23585,600000,600000,0,629274,26.7,63450,3866550,304139,0,0,5,True
6,China,8922686,95.94286021505377,2104201,147575,930000,930000,0,997806,35.6,377314,6225686,72516,0,0,4,True
6,Brazil,3824199,93.27314634146342,819412,29655,410000,410000,0,388016,39.6,275801,2860699,72933,412251,0,3,True
6,Germany,2449218,99.96808163265307,579500,0,379750,378968,782,272000,15.3,782,1603968,223032,0,0,5,True
7,India,7812245,76.59063725490196,1805305,0,1020000,896290,123710,848058,49.9,2387755,7557245,58978,319347,0,1,True
